Planet,Star,Needed,Period_d,Tdur_hr,A_baseline_86_total,A_baseline_86_sched,A_baseline_86_surplus,A_baseline_86_mean_cov,B_earth_110_total,B_earth_110_sched,B_earth_110_surplus,B_earth_110_mean_cov,C_daynight_110_80_total,C_daynight_110_80_sched,C_daynight_110_80_surplus,C_daynight_110_80_mean_cov,D_daynight_ST_moderate_total,D_daynight_ST_moderate_sched,D_daynight_ST_moderate_surplus,D_daynight_ST_moderate_mean_cov,E_daynight_ST_strict_total,E_daynight_ST_strict_sched,E_daynight_ST_strict_surplus,E_daynight_ST_strict_mean_cov,F_daynight_ST_strict_both_total,F_daynight_ST_strict_both_sched,F_daynight_ST_strict_both_surplus,F_daynight_ST_strict_both_mean_cov
GJ_3090b,GJ_3090,10,2.8531054,1.281,128,64,54,0.262,128,64,54,0.188,128,64,54,0.264,128,64,54,0.255,128,63,53,0.203,128,21,11,0.088
GJ_3470b,GJ_3470,10,3.3366496,1.8984,109,46,36,0.231,109,34,24,0.113,109,46,36,0.256,109,46,36,0.247,109,46,36,0.205,109,22,12,0.083
HAT-P-11b,HAT-P-11,10,4.888,2.35562,75,37,27,0.259,75,37,27,0.177,75,37,27,0.257,75,37,27,0.225,75,37,27,0.189,75,2,-8,0.065
HAT-P-12b,HAT-P-12,10,3.2130598,2.3376,114,56,46,0.263,114,56,46,0.175,114,56,46,0.267,114,56,46,0.26,114,56,46,0.198,114,11,1,0.079
HAT-P-18b,HAT-P-18,10,5.508023,2.7144,67,33,23,0.264,67,30,20,0.161,67,33,23,0.237,67,33,23,0.225,67,33,23,0.183,67,9,-1,0.074
HAT-P-26b,HAT-P-26,10,4.23452,2.4552,86,40,30,0.266,86,28,18,0.123,86,40,30,0.276,86,40,30,0.268,86,40,30,0.232,86,22,12,0.103
HD_73583b,HD_73583,10,6.398042,2.143,57,27,17,0.251,57,22,12,0.153,57,27,17,0.264,57,27,17,0.26,57,27,17,0.185,57,10,0,0.092
L_98-59c,L_98-59,10,3.6906777,1.346,98,46,36,0.244,98,46,36,0.18,98,46,36,0.244,98,46,36,0.242,98,46,36,0.224,98,23,13,0.1
TOI-2076b,TOI-2076,10,10.355235,3.245,35,17,7,0.256,35,17,7,0.166,35,17,7,0.261,35,17,7,0.252,35,17,7,0.196,35,2,-8,0.082
TOI-244b,TOI-244,10,7.397225,1.7,49,24,14,0.257,49,24,14,0.179,49,24,14,0.261,49,24,14,0.254,49,24,14,0.191,49,7,-3,0.086
TOI-270d,TOI-270,10,11.379573,2.148,32,15,5,0.224,32,15,5,0.159,32,15,5,0.231,32,15,5,0.211,32,15,5,0.189,32,3,-7,0.059
TOI-3629b,TOI-3629,10,3.936551,2.2,93,45,35,0.256,93,43,33,0.168,93,45,35,0.258,93,45,35,0.253,93,45,35,0.178,93,13,3,0.082
TOI-3884b,TOI-3884,10,4.5445828,1.6,80,39,29,0.273,80,27,17,0.124,80,39,29,0.295,80,39,29,0.286,80,39,29,0.244,80,27,17,0.105
TOI-674b,TOI-674,10,1.977143,1.1104153,185,91,81,0.257,185,74,64,0.181,185,91,81,0.258,185,90,80,0.253,185,88,78,0.187,185,54,44,0.092
TOI-942b,TOI-942,10,4.32421,3.4032,84,41,31,0.26,84,41,31,0.166,84,41,31,0.278,84,41,31,0.268,84,41,31,0.197,84,4,-6,0.074
TOI-942c,TOI-942,10,10.156272,1.91856,36,18,8,0.258,36,17,7,0.162,36,18,8,0.278,36,18,8,0.271,36,18,8,0.196,36,5,-5,0.083
WASP-107b,WASP-107,10,5.72148926,2.73864,64,29,19,0.247,64,23,13,0.131,64,29,19,0.253,64,29,19,0.25,64,29,19,0.216,64,20,10,0.104
WASP-52b,WASP-52,10,1.7497798,1.8096,208,92,82,0.275,208,66,56,0.131,208,92,82,0.283,208,92,82,0.272,208,92,82,0.223,208,45,35,0.086
WASP-69b,WASP-69,10,3.86814,2.1610195,94,41,31,0.238,94,30,20,0.117,94,41,31,0.247,94,41,31,0.243,94,41,31,0.216,94,20,10,0.097
WASP-80b,WASP-80,10,3.06785234,2.131,119,55,45,0.251,119,41,31,0.123,119,55,45,0.26,119,55,45,0.256,119,55,45,0.224,119,31,21,0.098
