Star,A_baseline_86_vis%,B_earth_110_vis%,C_daynight_110_80_vis%,D_daynight_ST_moderate_vis%,E_daynight_ST_strict_vis%,F_daynight_ST_strict_both_vis%
GJ_3090,26.0,18.7,26.3,25.2,20.2,8.7
GJ_3470,23.6,11.6,26.3,25.3,21.1,8.5
HAT-P-11,26.1,17.7,25.8,22.8,18.8,6.9
HAT-P-12,25.9,17.1,26.4,25.7,19.6,8.1
HAT-P-18,26.6,16.2,23.9,22.8,18.5,8.0
HAT-P-26,25.4,11.4,26.6,25.6,22.4,9.8
HD_73583,25.8,15.5,26.5,26.0,19.1,8.8
L_98-59,24.9,18.3,24.8,24.5,22.6,9.7
TOI-2076,26.1,16.8,26.5,25.9,19.7,8.0
TOI-244,26.2,18.3,26.6,25.8,19.4,8.9
TOI-270,25.0,18.2,25.5,22.9,19.9,6.7
TOI-3629,26.1,16.9,26.5,26.1,18.7,8.4
TOI-3884,24.3,11.1,26.2,25.3,21.7,9.4
TOI-674,25.8,18.1,25.8,25.2,18.9,9.2
TOI-942,25.7,16.2,27.6,26.5,19.5,7.5
WASP-107,22.6,12.1,23.3,23.1,20.0,9.0
WASP-52,25.4,11.4,26.7,25.5,21.9,9.5
WASP-69,23.7,11.9,24.8,24.5,21.6,9.5
WASP-80,24.8,12.0,25.7,25.4,22.3,9.9
