Star Name,RA,DEC
55_Cnc,133.1452262701,28.3291336230
EPIC-212813907,206.8324892022,-5.1060921019
GJ_3090,20.4379550317,-46.7149568537
GJ_3470,119.7729396966,15.3910426628
GJ_367,146.1195272505,-45.7807176303
GJ_486,191.9785439405,9.7480749474
GJ_806,311.2714768991,44.5010263200
HAT-P-11,297.7107274414,48.0825429793
HAT-P-12,209.3881028156,43.4931808578
HAT-P-18,256.3463273137,33.0122177966
HAT-P-26,213.1566612880,4.0590004956
HATS-6,88.1467999451,-19.0316053035
HATS-75,60.9494330507,-25.4089263029
HD_20329,49.1784628530,15.6557632574
HD_213885,338.9830863389,-59.8650756593
HD_3167,8.7404637180,4.3802154167
HD_73583,129.6881111306,-13.2564143097
HD_93963_A,162.7763962664,25.6409981441
IRAS_04125+2902,63.9283798363,29.1664890229
K2-141,350.9173861153,-1.1891091260
K2-33,242.5613338113,-19.3194530418
KELT-11,161.7066710294,-9.3995937468
L_98-59,124.5336095156,-68.3154586907
LTT_3780,154.6438849348,-11.7185243075
TOI-1027,167.1329799087,-29.6530967365
TOI-1130,286.3760526652,-41.4377201269
TOI-1408,313.5111624710,72.5807293611
TOI-1634,56.3909074212,37.1123199045
TOI-1860,226.4559159986,64.0480049415
TOI-1899,299.4269824561,40.1434012559
TOI-2076,217.3915673021,39.7903791270
TOI-244,10.5691895699,-36.7178411223
TOI-270,68.4164741496,-51.9581814507
TOI-3235,207.4731313534,-46.0667015850
TOI-3629,359.7940859337,39.3142585191
TOI-3714,69.5524164884,39.4577968688
TOI-3757,91.0035962508,55.0198533418
TOI-3884,181.5712776654,12.5071028295
TOI-431,83.2693054480,-26.7234295562
TOI-4527,19.4725149832,5.4693479217
TOI-519,124.6066281394,-19.6627068785
TOI-5205,313.7708154966,24.3611290458
TOI-5293_A,355.8286319931,-2.0450930848
TOI-5349,52.7126907260,20.8795706091
TOI-561,148.1848329252,6.2159241691
TOI-5671,211.0090529528,38.6183749107
TOI-6034,317.9001199310,68.4020612735
TOI-674,164.5859634797,-36.8581198820
TOI-6894,173.4687025706,12.4511555168
TOI-700,97.0949918051,-65.5781425658
TOI-7149,244.7384418355,19.1758491632
TOI-7189,273.0379106291,2.1881964451
TOI-7265,318.7041396524,45.9258247737
TOI-942,76.6496652908,-20.2456240971
WASP-107,188.3861409348,-10.1462414847
WASP-132,217.6092514128,-46.1597296014
WASP-52,348.4947726252,8.7609497882
WASP-69,315.0260651105,-5.0951302954
WASP-79,66.3709008830,-30.6004285279
WASP-80,303.1664112320,-2.1445849314
WASP-84,131.1069277064,1.8598011989
